player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Austin Rivers,riverau01,2020,RS,HOU,3516,1594,-.2791061649331777,-1.84242315741787,-2.121529322351047,3.680407209257514,-3.469301023067604,.2111061861899106,.4763771321871607,-2.305389344622897,-1.829012212435736,.74815758280375,.74815758280375,0,.0027325123783963,-2.069743895515871,-2.067011383137475,-.1150325462114194
Andre Roberson,roberan03,2020,PO,OKC,6,3,-21.71529838441758,-22.82078621488319,-44.53608459930076,12.29493485668443,-44.96910919373888,-32.67417433705445,-15.82199103273915,-29.34223409356983,-45.16422512630897,-.0662120782006768,0,-.0662120782006768,-10.66786227603443,-27.92845327663566,-38.59631555267009,-1.102293247273495
Andre Roberson,roberan03,2020,RS,OKC,190,87,-2.404574076648242,4.051261393692122,1.64668731704388,-9.292725552489097,13.39665971282325,4.10393416033415,-3.992002546798965,6.23964790702458,2.247645360225615,.2212401999220295,.2212401999220295,0,-3.834435033049922,4.473805356123388,.6393703230734658,-.2726138221275557
Duncan Robinson,robindu01,2020,PO,MIA,1215,600,3.571589987088826,-.7604560741311018,2.811133912957724,4.113125872462561,-5.985130181298851,-1.87200430883629,3.7889482362727,-1.927527266389522,1.861420969883178,1.45998749614793,0,1.45998749614793,5.676842850733387,-1.672940663790267,4.00390218694312,.2776538875235124
Duncan Robinson,robindu01,2020,RS,MIA,4478,2166,2.224643855242258,-1.239831620506219,.9848122347360388,6.318549158401164,2.796892962135209,9.115442120536374,3.177860113354445,-.4811324294671221,2.696727683887323,6.00218277185138,6.00218277185138,0,3.215178074448265,-.581554259910761,2.633623814537504,-.2876786900003727
Glenn Robinson III,robingl02,2020,RS,GSW,3215,1516,-1.315066787770289,-1.728542370335216,-3.043609158105505,-.0835503386496919,-2.619698227710837,-2.703248566360529,-1.080020602505213,-1.991135597216953,-3.071156199722166,-.2473451031612989,-.2473451031612989,0,-1.737120450358749,-1.283920129949099,-3.021040580307848,-.4346363454755647
Glenn Robinson III,robingl02,2020,RS,PHI,557,270,-.0368776049885038,-4.023273971364375,-4.060151576352879,7.691839313724897,-9.894535381196894,-2.202696067471997,1.567539030846365,-5.522039745359145,-3.954500714512779,-.1642354609426396,-.1642354609426396,0,.7617823661579937,-4.03251186176159,-3.270729495603597,-1.0395527740249
Jerome Robinson,robinje01,2020,RS,WAS,1117,503,-1.310655333725724,-2.146714382290811,-3.457369716016535,-2.348453491536254,.1486174820871949,-2.19983600944906,-1.610225000740106,-1.734626790236618,-3.344851790976724,-.1533110972137517,-.1533110972137517,0,-1.187939000705433,-2.013522545858406,-3.201461546563838,.4373750988244077
Jerome Robinson,robinje01,2020,RS,LAC,1081,476,-4.326305204794718,.0155527890942015,-4.310752415700517,-2.817364147222707,4.810597669049646,1.993233521826939,-4.326236527390458,.9566505483428803,-3.369585979047578,-.1514106024819136,-.1514106024819136,0,-3.945314808292293,.2361855404069242,-3.709129267885369,.6384832522760009
Justin Robinson,robinju01,2020,RS,WAS,101,49,-4.826734639855602,-2.889143143147949,-7.715877783003551,4.359063955212891,11.24992975247006,15.60899370768295,-3.169560772909866,.0014909131345948,-3.168069859775272,-.0103670371070262,-.0103670371070262,0,-3.084105203788705,-4.865165146676451,-7.949270350465156,-.8267238383789336
Mitchell Robinson,robinmi01,2020,RS,NYK,2962,1412,1.271009676380355,1.496709227502155,2.767718903882511,.5173884438661338,1.9205582202832,2.437946664149334,1.251869985003488,1.726944134338517,2.978814119342005,4.109734865029536,4.109734865029536,0,.2949505347082619,1.539437761662889,1.834388296371151,-.4284156592865321
Isaiah Roby,robyis01,2020,RS,OKC,26,11,-11.84388877454724,-4.315712184114346,-16.15960095866159,-8.179835328521369,4.768170678888234,-3.411664649633135,-11.7882854400524,-2.678709539107925,-14.46699497916032,-.0668775562438591,-.0668775562438591,0,-9.113400094543337,-5.058348568368478,-14.17174866291182,1.738174944841316
Rajon Rondo,rondora01,2020,PO,LAL,815,395,2.503072888281773,-3.986931259811263,-1.483858371529491,5.784002879505598,-4.523597321341095,1.260405558164504,3.286232431397665,-4.418606080421156,-1.132373649023492,.3358539819502275,0,.3358539819502275,1.295527378449879,-2.876671001061948,-1.581143622612069,-.108729547305776
Rajon Rondo,rondora01,2020,RS,LAL,2085,984,-.6849828312099634,-2.631866876673091,-3.316849707883054,-.758872394624746,-2.359242129181702,-3.118114523806448,-.7772822598910035,-2.785741683972397,-3.5630239438634,-.4076644734056922,-.4076644734056922,0,-.5425412618450698,-2.1513320754195,-2.69387333726457,-.1259430476140539
Derrick Rose,rosede01,2020,RS,DET,2752,1298,2.672573840368274,-2.179313565300545,.4932602750677288,1.312602071120843,-1.8647368417562,-.5521347706353565,2.575428240747927,-2.219575528694821,.3558527120531063,2.0634013985099,2.0634013985099,0,1.811816773969992,-3.365274529321758,-1.553457755351765,.3267788619398611
Terrence Ross,rosste01,2020,PO,ORL,299,135,.7463497933491037,1.650277285051295,2.396627078400399,7.293910515577657,15.67628606794422,22.97019658352188,2.257110873144212,4.674582567662093,6.931693440806304,.6951447086452071,0,.6951447086452071,6.631281491323803,4.297162398201833,10.92844388952564,1.066767691525054
Terrence Ross,rosste01,2020,RS,ORL,3955,1889,1.603912038735142,-1.444970532950641,.1589415057845016,-2.577931152919707,1.224782842632766,-1.353148310286941,.8607992737102579,-1.007013170492139,-.1462138967818816,2.505424744174657,2.505424744174657,0,1.39094482101966,-1.04493924464446,.3460055763752001,-.1635841616520338
Terry Rozier,roziete01,2020,RS,CHA,4356,2164,.3760000727097853,-1.022970852657876,-.6469707799480905,-4.836970063845169,-3.203227179788683,-8.040197243633852,-.6060983512535089,-1.51000174499702,-2.116100096250528,.6945361348374217,.6945361348374217,0,-.4529821731005654,-1.719050176434449,-2.172032349535014,-.7783958026186091
Ricky Rubio,rubiori01,2020,RS,PHO,4348,2016,1.231206454100322,-.44487562443575,.7863308296645721,2.870885802194499,1.546574577849686,4.417460380044185,1.631956847701602,-.0507437199829533,1.581213127718649,4.494258396196931,4.494258396196931,0,1.224792653131525,1.058857064664724,2.28364971779625,.901463762495388
D'Angelo Russell,russeda01,2020,RS,GSW,2280,1060,3.866712660798253,-4.057603991294624,-.1908913304963704,-.5534381628374949,-3.539748425124469,-4.093186587961964,3.36241967667543,-4.187149083367053,-.8247294066916226,1.058210283045924,1.058210283045924,0,3.206059255469828,-3.631684190529077,-.4256249350592496,1.667153394948403
D'Angelo Russell,russeda01,2020,RS,MIN,889,392,1.884674440693524,-2.426531521555842,-.5418570808623182,2.237457895397422,-2.35960651326677,-.1221486178693474,2.14851507985659,-2.536540624356026,-.388025544499436,.4802065035605278,.4802065035605278,0,3.528050620700064,-1.909094129015505,1.618956491684559,1.689243397289376
Domantas Sabonis,sabondo01,2020,RS,IND,4454,2159,1.036256593868705,-.0108009268095504,1.025455667059154,2.129670018316379,.5200619919752698,2.649732010291649,1.318480247927726,.0613710119533918,1.379851259881117,4.523728782049,4.523728782049,0,1.395318965224884,.5418802851232741,1.937199250348158,-.5699275392307664
Luka Samanic,samanlu01,2020,RS,SAS,102,48,-.0758318966946845,3.396410619619684,3.320578722924999,-5.567911700708958,5.845598440573838,.2776867398648797,-1.221200744431858,4.207542015907653,2.986341271475795,.1399126682442502,.1399126682442502,0,-2.352196193634473,3.031904817279308,.6797086236448351,-.4128588457983918
JaKarr Sampson,sampsja02,2020,PO,IND,102,50,-2.830869440650202,4.519054636707144,1.688185196056942,-3.403103567307971,-.5226344492241572,-3.925738016532129,-3.035496080680318,3.767364872599896,.7318687919195788,.0897152005666361,0,.0897152005666361,-4.752780328304624,3.446075070251613,-1.306705258053011,-2.052322833421191
